"Address,""Port"",""Packets"",""Bytes"",""Tx Packets"",""Tx Bytes"",""Rx Packets"",""Rx Bytes"""
"65.54.95.68,80,1939,1785634,1275,1718702,664,66932"
"65.54.95.75,80,1277,970421,766,878941,511,91480"
"65.54.95.140,80,1153,866613,658,762505,495,104108"
"204.14.234.85,443,884,717455,516,478353,368,239102"
"204.14.234.85,8443,884,717455,516,478353,368,239102"
"130.117.72.100,443,524,518062,354,508537,170,9525"
"209.17.73.30,80,411,422795,284,415047,127,7748"
"184.85.226.161,443,417,314689,222,223835,195,90854"
"72.14.213.147,443,306,122925,216,113354,90,9571"
"192.168.3.131,57243,502,415620,206,129914,296,285706"
"65.55.206.199,80,315,303663,199,281058,116,22605"
"208.82.236.129,80,367,155180,195,126549,172,28631"
"192.168.3.131,57244,430,347058,188,114316,242,232742"
"172.16.255.1,10638,524,518062,170,9525,354,508537"
"206.108.207.138,80,241,244039,163,235400,78,8639"
"208.82.236.130,80,279,169445,162,155392,117,14053"
"72.14.213.102,443,285,104868,156,91544,129,13324"
"192.168.3.131,57246,214,158898,96,68186,118,90712"
"192.168.3.131,57245,240,207040,94,61618,146,145422"
"192.168.3.131,52152,306,122925,90,9571,216,113354"
"72.14.213.18,443,132,14806,88,11885,44,2921"
"172.16.255.1,10622,174,31866,88,6780,86,25086"
"147.31.122.1,443,174,31866,86,25086,88,6780"
"10.0.2.15,2528,212,51224,86,14682,126,36542"
"65.54.95.39,80,164,60236,81,44889,83,15347"
"204.9.163.181,443,144,90280,81,77431,63,12849"
"192.168.3.131,56058,241,244039,78,8639,163,235400"
"192.168.3.131,56022,203,204055,72,12897,131,191158"
"128.241.90.211,80,123,99836,72,94397,51,5439"
"192.168.3.131,57247,160,120660,72,47796,88,72864"
"65.54.95.216,80,109,84460,66,80286,43,4174"
"192.168.3.131,57248,184,157506,66,47430,118,110076"
"192.168.3.131,58789,208,214018,64,3901,144,210117"
"207.46.0.109,80,92,62123,63,46009,29,16114"
"65.54.189.173,1863,106,25612,63,18271,43,7341"
"65.54.189.173,61863,106,25612,63,18271,43,7341"
"192.168.3.131,58790,203,208777,63,3847,140,204930"
"192.168.3.131,56434,197,203188,61,4207,136,198981"
"10.0.2.15,2548,164,97666,60,7058,104,90608"
"66.235.139.121,80,98,27224,59,18787,39,8437"
"192.168.3.131,56140,185,183937,59,3867,126,180070"
"10.0.2.15,2529,154,78834,58,4954,96,73880"
"192.168.3.131,56331,181,183721,58,3813,123,179908"
"192.168.3.131,56368,182,183775,58,3813,124,179962"
"192.168.3.131,56174,180,183666,57,3759,123,179907"
"192.168.3.131,56511,191,202858,56,3937,135,198921"
"192.168.3.131,56064,169,169487,54,4282,115,165205"
"192.168.3.131,56065,177,183505,54,3597,123,179908"
"65.54.167.27,80,82,48833,52,45304,30,3529"
"65.54.167.27,5480,82,48833,52,45304,30,3529"
"172.16.255.1,10646,121,105697,51,21917,70,83780"
"207.46.148.38,80,113,37111,48,25364,65,11747"
"72.14.213.103,80,96,5472,48,2880,48,2592"
"207.46.96.145,80,77,39417,48,36940,29,2477"
"207.46.96.145,5480,77,39417,48,36940,29,2477"
"192.168.3.131,56509,136,131988,46,3410,90,128578"
"192.168.3.131,52202,131,77298,45,3712,86,73586"
"172.16.255.1,10647,103,86234,45,18331,58,67903"
"192.168.3.131,49673,132,14806,44,2921,88,11885"
"192.168.3.131,56427,134,131880,44,3302,90,128578"
"65.54.95.142,80,74,51522,42,47517,32,4005"
"192.168.3.131,56139,133,132125,42,2958,91,129167"
"10.0.2.15,2526,108,55498,42,11600,66,43898"
"66.220.149.32,80,66,41770,40,33538,26,8232"
"206.108.207.155,80,64,52694,39,49811,25,2883"
"192.168.3.131,56067,88,72418,38,10986,50,61432"
"72.14.213.132,443,60,37974,37,34567,23,3407"
"194.192.199.252,443,58,44067,36,42038,22,2029"
"204.9.163.158,80,70,6654,35,4071,35,2583"
"192.168.3.131,56415,83,72692,34,7539,49,65153"
"65.54.186.19,443,54,27749,33,21949,21,5800"
"65.54.186.19,5443,54,27749,33,21949,21,5800"
"192.168.3.131,55957,48,36024,32,14661,16,21363"
"10.0.2.15,2550,68,6358,32,3312,36,3046"
"70.37.129.34,80,59,26001,32,22025,27,3976"
"70.37.129.34,5480,59,26001,32,22025,27,3976"
"65.55.15.244,80,57,25914,31,14475,26,11439"
"192.168.3.131,56416,79,69419,31,7378,48,62041"
"65.55.15.244,5480,57,25914,31,14475,26,11439"
"192.168.3.131,55959,45,29934,30,13934,15,16000"
"109.173.29.34,443,66,4847,29,2264,37,2583"
"192.168.3.131,56435,73,58943,29,7653,44,51290"
"192.168.3.131,56436,67,56100,29,10254,38,45846"
"72.14.213.147,80,46,29693,28,21938,18,7755"
"204.9.163.166,80,69,7068,28,2988,41,4080"
"109.227.83.224,443,64,4766,28,2236,36,2530"
"207.46.113.78,443,54,21010,28,14343,26,6667"
"207.46.113.78,5443,54,21010,28,14343,26,6667"
"212.8.166.36,443,50,7255,27,4547,23,2708"
"172.16.255.1,10650,54,38795,27,14372,27,24423"
"192.168.3.131,56414,67,57874,27,7163,40,50711"
"65.55.5.232,80,76,56643,26,33462,50,23181"
"192.168.3.131,56048,66,41770,26,8232,40,33538"
"10.0.2.15,2536,60,27250,26,11382,34,15868"
"10.0.2.15,2542,50,18974,26,6630,24,12344"
"10.0.2.15,2544,58,23046,26,6704,32,16342"
"192.168.3.131,56411,68,63921,26,5171,42,58750"
"192.168.3.131,56417,67,59020,26,7106,41,51914"
"192.168.3.131,56418,60,50563,26,7103,34,43460"
"172.16.255.1,10652,49,32499,25,13155,24,19344"
"65.54.95.149,80,41,33547,25,32262,16,1285"
"192.168.3.131,56036,60,50541,24,3708,36,46833"
"72.14.213.148,80,37,33087,24,31841,13,1246"
"172.16.255.1,10636,50,7255,23,2708,27,4547"
"172.16.255.1,10651,44,27925,23,13031,21,14894"
"72.14.213.138,80,43,24143,22,15907,21,8236"
"65.55.17.37,80,40,30999,22,26951,18,4048"
"192.168.3.131,56037,54,45651,22,3005,32,42646"
"10.0.2.15,2537,48,24242,22,11280,26,12962"
"172.16.255.1,10667,58,44067,22,2029,36,42038"
"66.235.133.62,80,35,7712,21,6908,14,804"
"192.168.3.131,56429,49,36911,21,6377,28,30534"
"192.168.3.131,55960,31,11685,20,6891,11,4794"
"192.168.3.131,56073,49,36375,20,4906,29,31469"
