,Job Title,Company,Date Posted,Post Link,Description
0,Python Developer,Reperio Human Capital Ltd,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8783545.aspx,They are currently searching for a passionate Python Developer to help transform businesses and economies with new ideas and keeping up to date with new technology trends. * 3+ years experience in using Python in a working environment - They provide - Dublin (Hybrid) €350-€400 - 6 Month Rolling Contract - Hiring for a global information technology services organisation.
1,Python Developer,Harvey Nash,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8783292.aspx,**Hybrid Working** The Company Our multinational investment banking client requires a Python Developer for a contract role. Our multinational investment banking client requires a Python Developer for a contract role. * 3+ years experience in Python or similar (e.g. C# or Java). Python Sql Server C# Developer - Our client values are to **Hybrid Working** The Company
2,Python (Rates Risk) Developer,Brightwater,Updated 08/05/2022,https://www.irishjobs.ie/Jobs/Python-Rates-Risk-Developer-8775118.aspx,"Some of the key components of the platform include: a globally distributed, object based database (developed in-house); a graph (DAG) based framework to manage object dependencies; a bi-temporal deal model for all financial instruments; a high performance computational grid and a Python based GUI framework."
3,Python Developer,Reperio Human Capital Ltd,Updated 08/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8775302.aspx,I am on the search for a talented Python developer to join an internationally known strategy solutions company. * 3+ years working a Python Development setting Python Python Developer Software Engineer Python Programmer Django Flask - Dublin (Remote) 9 Month Rolling Contract €350-€400 Daily Rate Contract
4,Senior Python Engineer,Oomnitza,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Engineer-8773381.aspx,"Team Oomnitza is looking for an experienced and driven Senior Python Engineer to work on the next generation of SaaS enterprise software. * Solid industry experience with Python (5+ years) and Python web frameworks (Pyramid, Django, etc.) * Knowledge of threading limitations of Python, and multi-process architecture Python SaaS Enterprise Software REST/SOAP API's"
5,Senior Python Developer Contract Ireland 6-18 Months,Spring,Updated 07/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-Contract-Ireland-8774647.aspx,My client a leader in their business is in urgent need of a talented and experienced Senior Python developer to join them on a contract basis. My client is looking for a talented senior Python developer to work in the Risk Technology team.
6,Python Developer,HedgeServ,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8781065.aspx,The Back Office team is looking for a highly motivated back-end developer who will be focused on building and supporting AWS back-end applications written in Python. Create and maintain python back-end services with comprehensive automated tests - 1-2 years of experience programming in Python Python SQL communication skills teamwork
7,Python Software Engineer,Reperio Human Capital Ltd,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Python-Software-Engineer-8782552.aspx,I am working with an award-winning software company based in Dublin who are currently in need for an experienced full stack developer with strong Python programming skills. * Python 3+years Python Django Flask Developer Engineer Ireland - Location - Dublin/Remote in Ireland - Permanent Full-Time - Job Description
8,Senior Python Developer - Day Rate Contract,EOLAS – IT RECRUITMENT SPECIALISTS JOBS,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-Day-Rate-8782179.aspx,Python Developer – 6/12 month Contract My Dublin City Centre based client is looking for a Senior Python Developer on a contract basis for 6-12 Python Developer – 6/12 month Contract - My Dublin City Centre based client is looking for a Senior Python Developer on a contract basis for 6-12 months.
9,Senior Python Backend Engineer,Reperio Human Capital Ltd,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Backend-Engineer-8773588.aspx,3+ years using Python in a working environment Python Python Django Python Engineer Python Developer - 12 Month Contract - Dublin (Remote) €450.00-€500.00 - My Artificial Intelligence client is looking for a talented senior backend engineer to join their global engineering team.
10,Python Developer - ML/AI field,Reperio Human Capital Ltd,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-ML-AI-field-8774041.aspx,Python Developers - ML/AI field Python | React | Node | AWS Location - Dublin/Remote Permanent Full-Time Job Description My client in Dublin are Python Developers - ML/AI field Python | React | Node | AWS - My client in Dublin are looking for experienced Python developers with an interest in the ML/AI field to join their growing team in Ireland.
11,Python Developer,Reperio Human Capital Ltd,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8781797.aspx,A global tech company in Dublin are looking for Python Developers (mid-level and senior) to join their growing team. * 3+ years Python experience (mid-level) * 5+ years Python experience (senior) Python Django Flask Developer Ireland Backend - Location - Dublin/Ireland/Remote/Hybrid - Permanent Full-Time - Job Description
12,Backend Developer (Python),Reperio Human Capital Ltd,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Backend-Developer-Python-8782512.aspx,Backend Engineer- Python 6 Month Contract Dublin City Centre (Hybrid) Daily Rate Contract I am on the hunt for a for a knowledgeable and enthusiastic - Backend Engineer- Python I am on the hunt for a for a knowledgeable and enthusiastic Python Developer with extensive experience working in a Backend Development Team. * 5+ years using Python Software
13,Python Engineer,Stelfox,Updated 05/05/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-8773046.aspx,"You can join one of their two teams, you can either work on greenfield projects in Python in the cloud or you can work on something different every week. * Good knowledge of Python * Open to strong Java or other mainstream programming languages developers with a strong desire to work in Python. Our client provides information"
14,Python Developer,Berkley Recruitment Group,Updated 04/05/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8780795.aspx,"My client, a cutting-edge software company based in Cork are looking to hire a Python Developer on a permanent basis. * Strong proficiency and at least 5 years experience in software development ideally developing SaaS solutions in Python or Java. Python Django Flask - Cork/Remote"
15,Senior Python Developer,EOLAS – IT RECRUITMENT SPECIALISTS JOBS,Updated 04/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-8780572.aspx,"Our Dublin based Financial Services client is looking for an experienced, highly motivated Senior Python Developer to join their team. * Strong hands-on experience in Python programming Python Django Flask Python Development Backend Development Cloud SDLC - This role is to"
16,Mid/Senior Python Developer,Reperio Human Capital Ltd,Updated 04/05/2022,https://www.irishjobs.ie/Jobs/Mid-Senior-Python-Developer-8780339.aspx,Using extensive knowledge of Python you will be expected to be a vital contributor to improving their AI data solutions platform and backend development. Our client is looking for an individual who gets a thrill from problem solving and apply their experience and knowledge of Python in their day to day role. * Senior Level Python Experience
17,Senior Python Developer,FRS Recruitment,Updated 02/05/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-8779477.aspx,"I am recruiting for a very experienced, highly motivated Senior Python Developer to work for my client, they are a global innovator at the forefront of it's industry. * Minimum 5 years+ Python coding experience Python Node.JS JavaScript"
18,Senior Python Developer,Harvey Nash,Updated 30/04/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-8771868.aspx,Harvey Nash are looking for a highly skilled Senior Python developer's to join an exciting global financial giant to work on a highly interesting project in market risk. * Python Python Django Flask - The position itself will be a fast paced development role and our client is looking for an experienced developer who can hit the ground running. * Django/flask
19,Python Developer,Computer Futures,Updated 30/04/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8771393.aspx,"My client is looking for a Python developer to join this very exciting startup. They have an immediate need to recruit a Python Developer to work alongside their Solution Architect and Product Development Team. - Very competent with Python, both with and without the use of frameworks such as Django and Flask - Excellent working knowledge of Python"
20,Python Engineer,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-8778808.aspx,5+ years experience with open source languages such as Python/Spark/Scala - Cork (Remote) Daily Rate: €400-€450 - 12 month rolling contract - I am currently working with a global innovative technology company with offices in the south of Ireland. They would like an intelligent engineer to join analytics engineers on the building new data pipelines.
21,Python Developers,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Python-Developers-8778704.aspx,"Python | Django | PostfreSQL | Dublin | Ireland - My client in Dublin are looking for experienced backend Python developers (mid-level to senior) to join their team on a permanent, full-time basis. The ideal candidate will have strong python programming skills and will ideally have experience with Django and PostgreSQL (if your eager to learn this also helps!)."
22,Senior Python and AWS Developer - Remote anywhere in the EU,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Senior-Python-and-AWS-Developer-8771238.aspx,I am working with a cyber security company based in Ireland who are urgently looking for a Senior Python and AWS developer to join their team. * Strong Python development experience (3-5 years) AWS Python Remote EU Cybersecurity Ireland - Location - Ireland/EU/Remote - Permanent Full-Time - Job Description
23,Application Developer (SQL & Python),IT Alliance Group,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Application-Developer-SQL-Python-8778984.aspx,Applications Developer (SQL & Python) Leading fund management company with significant operations in 30+ countries including has an urgent - Applications Developer (SQL & Python)
24,Software Engineer  ( Python),Astreya,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Software-Engineer-Python-8771027.aspx,"Knowledge of Python/ Bash is required. Customize software for Python-based legacy systems in the network to improve system performance. Development background and experience with Python. We are looking for an experienced Software Engineer to join our Team. In this role, you will be able to design and test software that automates"
25,Python Engineer  - Contract Positions,Stelfox,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-Contract-Positions-8777573.aspx,"Python Engineer - Daily Rates - Rolling Long-Term Contracts Exciting opportunities working on a global enterprise project solving complex business Python Engineer - Daily Rates - Rolling Long-Term Contracts - Comprehensive knowledge of Python Strong Linux/UNIX experience Experience building RESTful web APIs using Python frameworks such as Flask, Django"
